,Team,Season,Total_Batting_Weight,Total_Bowling_Weight,Team_Weight
0,5,2008,42.071889999999996,18.71701,60.788900000000005
1,7,2008,42.70313,28.942289999999996,71.64542
2,9,2008,41.61356,22.94817,64.56173000000001
3,4,2008,34.21981999999999,29.402190000000004,63.622009999999996
4,6,2008,29.682299999999994,34.32318,64.00548
5,1,2008,42.19583999999999,30.464669999999998,72.66051
6,2,2008,35.896899999999995,33.470600000000005,69.3675
7,3,2008,41.54585,32.39867,73.94452000000001
8,1,2009,40.70315,36.22411,76.92726
9,2,2009,42.11982,38.64986,80.76968000000001
10,5,2009,42.94169,23.564899999999998,66.50659
11,6,2009,40.751059999999995,43.68522,84.43628000000001
12,4,2009,39.96669000000001,42.20882,82.17551000000002
13,3,2009,54.180229999999995,45.314960000000006,99.49519000000001
14,9,2009,36.26356,24.72057,60.98413
15,7,2009,51.13125,34.14276,85.27401
16,9,2010,40.18335999999999,28.231189999999998,68.41455
17,1,2010,57.15523999999999,48.11095,105.26619
18,7,2010,58.98855,41.66283000000001,100.65137999999999
19,4,2010,41.39064,49.04493,90.43557
20,2,2010,56.260450000000006,44.05907,100.31952
21,5,2010,51.78334,24.217029999999998,76.00037
22,3,2010,54.31564000000001,37.23947,91.55511
23,6,2010,47.39584,36.83616000000001,84.23200000000001
24,12,2011,44.23856,30.208769999999998,74.44733000000001
25,5,2011,46.505219999999994,23.74652,70.25174000000001
26,6,2011,40.16148999999999,27.71942,67.88091
27,1,2011,39.63749,43.300779999999996,82.93827
28,4,2011,43.51355000000001,29.75714,73.27069
29,7,2011,48.428140000000006,39.65697,88.08510999999999
30,13,2011,40.663560000000004,41.85972999999999,82.52329
31,9,2011,41.73025,29.64041,71.37066
32,2,2011,50.88441,41.17937,92.06378000000001
33,3,2011,37.38646000000001,22.30313,59.68959000000001
34,6,2012,40.400029999999994,30.78547,71.18549999999999
35,13,2012,38.44169000000001,41.51893,79.96062
36,9,2012,57.75421,45.81024,103.56444999999998
37,1,2012,54.23124,54.72768,108.95891999999998
38,4,2012,54.71042,32.1982,86.90862000000001
39,2,2012,55.58856,50.325599999999994,105.91416000000002
40,5,2012,47.24689000000001,21.975270000000002,69.22216
41,7,2012,68.51772,48.79142000000001,117.30913999999999
42,3,2012,42.552080000000004,30.58735,73.13943000000002
43,1,2013,58.41250999999999,67.45412,125.86663
44,7,2013,58.73648,45.29963,104.03611000000002
45,9,2013,64.19900000000001,46.01780000000001,110.2168
46,2,2013,58.36459,46.54494999999999,104.90953999999998
47,10,2013,52.1021,34.5036,86.6057
48,13,2013,47.32399,43.450559999999996,90.77454999999999
49,3,2013,53.78856000000001,37.140429999999995,90.92899000000001
50,6,2013,51.12815,35.02248,86.15062999999999
51,5,2013,52.59167000000001,31.562559999999998,84.15422999999998
52,5,2014,52.09897,39.879799999999996,91.97877000000001
53,2,2014,61.75835,43.11683999999999,104.87519
54,1,2014,46.766670000000005,45.25482,92.02149
55,9,2014,52.38753,31.976459999999996,84.36399
56,10,2014,49.09794,37.694630000000004,86.79257000000001
57,3,2014,40.895849999999996,37.208800000000004,78.10464999999999
58,7,2014,47.95729,37.82794,85.78523
59,6,2014,77.28127,53.723020000000005,131.00429000000003
60,6,2015,61.54165,39.748940000000005,101.29059000000001
61,5,2015,43.872910000000005,35.73001,79.60292000000001
62,7,2015,50.8063,39.776,90.58229999999999
63,1,2015,57.50313,49.49066,106.99378999999999
64,3,2015,50.83022,42.25598,93.0862
65,9,2015,53.42191,26.992979999999996,80.41489000000001
66,10,2015,57.697950000000006,38.509510000000006,96.20746
67,2,2015,56.941680000000005,44.620380000000004,101.56206
68,8,2016,46.96874,37.024809999999995,83.99355
69,Rising Pune Supergiants,2016,62.180220000000006,46.904579999999996,109.0848
70,3,2016,62.33542,36.21946,98.55488000000003
71,2,2016,59.09064,38.12036,97.211
72,7,2016,56.85835,39.67228,96.53063000000002
73,9,2016,53.37192,28.253569999999996,81.62549
74,1,2016,68.13126,48.441159999999996,116.57242000000002
75,10,2016,58.856300000000005,36.94581,95.80211000000001
76,9,2017,56.58129000000001,31.7925,88.37379000000001
77,11,2017,55.27084,28.257150000000003,83.52799000000002
78,1,2017,70.59688,58.06262000000001,128.65949999999998
79,8,2017,55.23228999999999,45.05549,100.28778
80,10,2017,60.80005,40.03309,100.83314000000003
81,7,2017,51.030240000000006,34.75838,85.78862
82,3,2017,57.418749999999996,37.39634,94.81509
83,2,2017,48.438570000000006,35.44347,83.88204
84,1,2018,51.23125,35.00243,86.23367999999999
85,10,2018,50.71669999999999,36.636880000000005,87.35358000000001
86,3,2018,69.00524,36.41758,105.42282
87,2,2018,40.662510000000005,28.74061,69.40312
88,5,2018,49.773959999999995,26.84322,76.61718
89,6,2018,51.91251,32.81377,84.72628
90,7,2018,65.59273,38.20887,103.80160000000002
91,9,2018,52.48335,29.784229999999997,82.26758000000001
92,14,2019,49.60835999999999,26.79605,76.40441
93,3,2019,55.621900000000004,40.6605,96.2824
94,2,2019,39.54585,23.9517,63.49754999999999
95,9,2019,41.35833000000001,16.167499999999997,57.52583000000001
96,5,2019,52.51875000000001,31.445819999999998,83.96456999999998
97,1,2019,55.01042999999999,38.48119,93.49161999999998
98,10,2019,66.18754,36.60388,102.79142000000002
99,6,2019,52.24896000000001,32.55552,84.80448
